question,row_number
MSRP ของสินค้ารหัส NT-LT-001 (NovaTech laptop) เป็นเท่าไหร่ครับ,1
ใน FACT_VENDOR_PAYMENT มีรายการ vendor payment กี่รายการที่เดือนของ posting_date ไม่ตรงกับเดือนของ business_event_date ครับ (นับเป็นจำนวนแถว โดยถือว่าต่างกันก็ต่อเมื่อ ปี-เดือน ของสองคอลัมน์นี้ไม่ตรงกัน),2
ในตาราง FACT_SHIPPING รายการขนส่งทั้งหมดของ FahMai ถูกจัดการโดย vendor รายใดบ้าง ขอชื่อ vendor (ชื่อบริษัทขนส่ง) และส่วนแบ่งของ vendor นั้นเทียบกับจำนวนรายการขนส่งทั้งหมด (เป็นเปอร์เซ็นต์) ครับ,3
ในตาราง FACT_CS_INTERACTION พนักงาน CS คนไหน (employee_id) ที่มีจำนวน interaction บันทึกไว้มากที่สุดครับ และมีทั้งหมดกี่ครั้ง,4
FahMai มี vendor ที่เป็น partner brand (พาร์ทเนอร์แบรนด์สินค้า) ทั้งหมดกี่ราย และ vendor_id ของแต่ละรายคืออะไรบ้างครับ,5
ในปี 2024-2025 สาขาไหนของฟ้าใหม่ที่มีจำนวน transaction การขายมากที่สุด และยอดรายได้รวม (net_total_thb) ของสาขานั้นเป็นเท่าไหร่ครับ,6
ในฐานข้อมูลลูกค้าของฟ้าใหม่ มีลูกค้าทั้งหมดกี่รายในแต่ละ loyalty_tier ครับ ขอจำนวนแยกตามแต่ละ tier ที่ปรากฏใน DIM_CUSTOMER,7
FahMai มีสาขา/สถานที่ทั้งหมดกี่แห่งในไดเรกทอรี DIM_BRANCH ครับ (นับทุกประเภท ทั้งสำนักงานใหญ่ สาขาหน้าร้าน และช่องทาง remote),8
ใครเป็น CEO ของ FahMai ณ วันที่ 1 มิถุนายน 2568 (หลังการเปลี่ยนผ่านผู้บริหารเมื่อ 15 มกราคม 2568) ครับ ขอชื่อ-นามสกุลตามที่ระบุไว้ใน DIM_EMPLOYEE,9
ระยะเวลารับประกันของสินค้ารหัส AW-MN-001 (ArcWave monitor flagship) ตามที่ระบุในไดเรกทอรี DIM_PRODUCT คือกี่เดือนครับ,10
