id,response
L3-Q-EASY-001,"DIM_PRODUCT sku_id=NT-LT-001 (NovaTech laptop) มี msrp_thb/MSRP = 42,900 THB."
L3-Q-EASY-002,FACT_VENDOR_PAYMENT มี cross-month posting 767 แถว: ปี-เดือนของ posting_date ไม่ตรงกับปี-เดือนของ business_event_date.
L3-Q-EASY-003,"VeloShip — 100% (all 23,182 of 23,182 shipping records)"
L3-Q-EASY-004,ใน FACT_CS_INTERACTION employee_id ที่มี interaction มากที่สุดคือ EMP-L3-00010 รวม 730 interactions.
L3-Q-EASY-005,"2 vendors: V-001 (NovaTech), V-002 (NovaTech Service)"
L3-Q-EASY-006,"BKK-SIAM (FahMai Siam) — 18,084 transactions; net_total_thb = 1,039,386,349 THB"
L3-Q-EASY-007,"none: 7,800; gold: 7,500; platinum: 7,500; silver: 7,200 (total 30,000 customers)"
L3-Q-EASY-008,DIM_BRANCH มีสาขา/สถานที่ทั้งหมด 11 แห่ง รวมสำนักงานใหญ่ สาขาหน้าร้าน และ REMOTE.
L3-Q-EASY-009,CEO ของ FahMai ณ วันที่ 2025-06-01 คือ Naret Vision (EMP-L3-00013) หลัง leadership transition วันที่ 2025-01-15.
L3-Q-EASY-010,DIM_PRODUCT sku_id=AW-MN-001 (ArcWave monitor flagship) มี warranty_months = 24 months / 24 เดือน.
L3-Q-EASY-011,DIM_POLICY_VERSION current refund signing authority ladder มี effective_date = 2025-02-15.
L3-Q-EASY-012,"DIM_PRODUCT sku_id=SF-Galaxy-Pro-2568 (SaiFah smartphone flagship) มี MSRP/msrp_thb = 38,900 THB."
L3-Q-EASY-013,DIM_VENDOR มี vendor ทั้งหมด 6 ราย.
L3-Q-EASY-014,"FahMai Siam (BKK-SIAM) with 18,084 transactions"
L3-Q-EASY-015,DIM_EMPLOYEE มีพนักงานทั้งหมด 600 คน.
L3-Q-EASY-016,ตามนโยบายที่มีผล ณ วันที่ 2024-12-15 return_window_days = 14 days / 14 วัน.
L3-Q-EASY-017,DIM_CUSTOMER มีลูกค้าประเภท B2B ทั้งหมด 300 ราย.
L3-Q-EASY-018,ก่อนวันที่ 2025-04-01 policy point_earning_rate_per_thb = 0.01 FahMai Points per THB.
L3-Q-EASY-019,ตั้งแต่วันที่ 2025-04-01 policy point_earning_rate_per_thb = 0.0125 points per THB.
L3-Q-EASY-020,"VeloShip (vendor_id V-006) is the only shipping vendor, with 23,182 shipping rows."
L3-Q-EASY-021,"DIM_CUSTOMER มีลูกค้า loyalty_tier=gold ทั้งหมด 7,500 ราย."
L3-Q-EASY-022,loyalty_tier สูงสุดที่ปรากฏจริงใน DIM_CUSTOMER คือ platinum.
L3-Q-EASY-023,DIM_BANK_ACCOUNT มีบัญชีธนาคารดำเนินงานทั้งหมด 14 บัญชี.
L3-Q-EASY-024,"DIM_POLICY_VERSION policy_variable=refund_threshold_thb ที่มีผลล่าสุด = 5,000 THB / 5000 บาท."
L3-Q-EASY-025,DIM_PROMO_CAMPAIGN มี promotional campaigns ที่แตกต่างกันทั้งหมด 7 แคมเปญ.
L3-Q-MED-001,"ปี 2024 top-selling SKU by units sold คือ SKU-MASS-063 รวม 1,508 units; ปี 2025 คือ SF-Galaxy-Pro-2568 รวม 4,370 units."
L3-Q-MED-002,"(1) amount_thb = 18,906,765 THB; (2) business_event_date = 2025-07-15; (3) account_id = OPER-REMOTE; (4) source event = a FACT_SALES_DEPOSIT_BATCH row (bank_txn_id BT-202507-1041521243094), i.e. a B2C credit_card batch deposit for the REMOTE channel on 2025-07-15 — an aggregate of many sales, not a single product/order; it coincides with the SF Galaxy Pro 2568 launch promo campaign (SF-LAUNCH-2568), which started 2025-07-15."
L3-Q-MED-003,"customer_id = CUST-L3-023922, total points earned = 15738, current loyalty_tier = platinum"
L3-Q-MED-004,"customer_id=CUST-L3-B2B-020600, days_late=14, payment_terms=NET-60 (payment_received_date 2025-12-31, the latest of the year)"
L3-Q-MED-005,"SKU-MASS-048 with 11 stockout events (closing_units=0), impacting 9 retail branches (branch_type='branch'). Note: it touched 10 distinct branches total, but one of those is HQ (BKK-R9); the 9 retail branches are UDN-CTRL, KKC-CTRL, BKK-EMSP, PTY-CTRL, BKK-CTW, BKK-SIAM, BKK-PKT, CNX-MAYA, HKT-FEST."
L3-Q-MED-006,"2567 (MEGA-1111-2567): 267 redemptions, total discount 1,308,360 THB. 2568 (MEGA-1111-2568): 442 redemptions, total discount 2,868,084 THB."
L3-Q-MED-007,"Branch BKK-EMSP (FahMai EM Sphere), txn_id TXN-202411-03026757, basket_total_thb = 320,300 THB"
L3-Q-MED-008,"1. CUST-L3-B2B-002600 = 7,548,210 THB; 2. CUST-L3-B2B-021100 = 7,405,700 THB; 3. CUST-L3-B2B-019600 = 6,817,740 THB; 4. CUST-L3-B2B-026300 = 6,774,900 THB; 5. CUST-L3-B2B-003500 = 6,758,870 THB"
L3-Q-MED-009,ตามนโยบาย ณ pickup/received date 2025-02-15 ลูกค้าคืนสินค้าได้ภายใน 14 days / 14 วัน.
L3-Q-MED-010,"วันที่ 2025-03-20 refund threshold = 5,000 THB; policy_version_id = 12."
L3-Q-MED-011,Total returns = 74. By return_reason: customer_change_of_mind = 74 (the only reason present in this window).
L3-Q-MED-012,"ใน FACT_BANK_TRANSACTION บัญชีที่มี credit volume สูงสุดคือ OPER-BKK-SIAM รวม 579,680,857 THB."
L3-Q-MED-013,"1) DN-LT-010 (brand_family: Dawn) — 228,465,900 THB; 2) SF-Galaxy-Pro-2568 (brand_family: SaiFah) — 169,993,000 THB; 3) SKU-MASS-019 (brand_family: FahMai) — 159,538,600 THB"
L3-Q-MED-014,"offline (non-REMOTE branches): 58,040.03 THB; online (REMOTE): 37,993.83 THB (average basket_total_thb, pre-launch baseline before 2025-07-15)"
L3-Q-MED-015,"3 transitions. In chronological order: normal (2024-01-01), active (2025-09-10), completed (2025-10-15)."
L3-Q-MED-016,"ปี 2025 return rate ต่อ branch: สูงสุด HKT-FEST = 6.83% (271 FACT_RETURN rows / 3,970 FACT_SALES transactions); ต่ำสุด REMOTE = 3.88% (316 returns / 8,150 sales transactions). branch_code สูงสุด=HKT-FEST, ต่ำสุด=REMOTE."
L3-Q-MED-017,"FACT_SALES_LINE_ITEM สำหรับ DN-LT-010 เมื่อ group by txn_id: line_total_thb สูงสุด = 254,700 THB และ quantity รวม = 3 units. มี top-tie หลาย txn เช่น TXN-202508-12023200 / TXN-202509-14028900 / TXN-202411-09020300 / TXN-202506-02002742; คำตอบหลักคือมูลค่า DN-LT-010 254,700 บาท และ 3 เครื่อง."
L3-Q-MED-018,"24 รายการ, ยอดรวม -15,600 THB (fees recorded as negative/debit; absolute value 15,600 THB)"
